system,session,trial,latency_ms,included_in_graph
IP,6,10,32.983000,yes
IP,7,1,23.988000,yes
IP,7,2,34.974000,yes
IP,7,3,52.974000,yes
IP,7,4,15.091000,yes
IP,7,5,22.961000,yes
IP,7,6,25.987000,yes
IP,7,7,17.991000,yes
IP,7,8,21.522000,yes
IP,7,9,17.039000,yes
IP,7,10,46.977000,yes
IP,8,1,16.729000,yes
IP,8,2,18.209000,yes
IP,8,3,44.978000,yes
IP,8,4,23.988000,yes
IP,8,5,25.803000,yes
IP,8,6,15.291000,yes
IP,8,7,22.989000,yes
IP,8,8,21.989000,yes
IP,8,9,15.577000,yes
IP,8,10,15.992000,yes
IP,9,1,26.748000,yes
IP,9,2,17.082000,yes
IP,9,3,55.832000,yes
IP,9,4,18.991000,yes
IP,9,5,32.195000,yes
IP,9,6,17.991000,yes
IP,9,7,32.709000,yes
IP,9,8,20.990000,yes
IP,9,9,21.417000,yes
IP,9,10,26.987000,yes
IP,10,1,28.986000,yes
IP,10,2,28.197000,yes
IP,10,3,26.986000,yes
IP,10,4,16.992000,yes
IP,10,5,21.989000,yes
IP,10,6,26.849000,yes
IP,10,7,20.990000,yes
IP,10,8,17.203000,yes
IP,10,9,22.988000,yes
IP,10,10,15.992000,yes
IP,11,1,57.971000,yes
IP,11,2,31.181000,yes
IP,11,3,49.004000,yes
IP,11,4,22.988000,yes
IP,11,5,21.752000,yes
IP,11,6,46.232000,yes
IP,11,7,17.523000,yes
IP,11,8,40.939000,yes
IP,11,9,22.989000,yes
IP,11,10,25.827000,yes
IP,12,1,18.991000,no
IP,12,2,27.986000,no
IP,12,3,34.982000,no
IP,12,4,19.990000,no
IP,12,5,46.977000,no
IP,12,6,18.990000,no
IP,12,7,24.988000,no
IP,12,8,19.990000,no
IP,12,9,47.976000,no
IP,12,10,19.292000,no
