system,session,trial,latency_ms,included_in_graph
IP,6,10,136.932000,yes
IP,7,1,146.401000,yes
IP,7,2,110.945000,yes
IP,7,3,413.749000,yes
IP,7,4,127.457000,yes
IP,7,5,130.934000,yes
IP,7,6,113.943000,yes
IP,7,7,94.953000,yes
IP,7,8,189.905000,yes
IP,7,9,88.765000,yes
IP,7,10,245.998000,yes
IP,8,1,175.912000,yes
IP,8,2,159.920000,yes
IP,8,3,124.937000,yes
IP,8,4,157.921000,yes
IP,8,5,98.910000,yes
IP,8,6,98.951000,yes
IP,8,7,140.286000,yes
IP,8,8,123.938000,yes
IP,8,9,142.929000,yes
IP,8,10,187.196000,yes
IP,9,1,165.917000,yes
IP,9,2,140.929000,yes
IP,9,3,115.942000,yes
IP,9,4,120.940000,yes
IP,9,5,112.943000,yes
IP,9,6,161.919000,yes
IP,9,7,104.948000,yes
IP,9,8,138.777000,yes
IP,9,9,198.468000,yes
IP,9,10,291.854000,yes
IP,10,1,165.917000,yes
IP,10,2,134.932000,yes
IP,10,3,146.926000,yes
IP,10,4,84.021000,yes
IP,10,5,129.869000,yes
IP,10,6,84.989000,yes
IP,10,7,177.218000,yes
IP,10,8,144.871000,yes
IP,10,9,195.902000,yes
IP,10,10,119.514000,yes
IP,11,1,128.315000,yes
IP,11,2,77.961000,yes
IP,11,3,192.320000,yes
IP,11,4,153.923000,yes
IP,11,5,115.942000,yes
IP,11,6,173.913000,yes
IP,11,7,149.225000,yes
IP,11,8,139.930000,yes
IP,11,9,122.938000,yes
IP,11,10,174.912000,yes
IP,12,1,159.920000,no
IP,12,2,105.947000,no
IP,12,3,98.950000,no
IP,12,4,192.904000,no
IP,12,5,130.935000,no
IP,12,6,166.917000,no
IP,12,7,157.921000,no
IP,12,8,120.940000,no
IP,12,9,176.911000,no
IP,12,10,149.925000,no
